logical_run_id,family_id,seed,horizon_steps,gpu_count,threshold_fid,first_step,first_fid,wallclock_seconds,wallclock_hours,gpu_hours,reached,walltime_source
current_cifar_paper:cifar10:pipe_P2_equal:seed2:h300000,pipe_P2_equal,2,300000,2,100,10000,91.071697846,586.300000,0.162861,0.325722,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:pipe_P2_equal:seed2:h300000,pipe_P2_equal,2,300000,2,90,20000,88.021818895,1172.600000,0.325722,0.651444,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:pipe_P2_equal:seed2:h300000,pipe_P2_equal,2,300000,2,80,25000,74.893282599,1465.750000,0.407153,0.814306,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:pipe_P2_equal:seed2:h300000,pipe_P2_equal,2,300000,2,70,35000,64.561563720,2052.050000,0.570014,1.140028,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:pipe_P2_equal:seed2:h300000,pipe_P2_equal,2,300000,2,65,35000,64.561563720,2052.050000,0.570014,1.140028,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:pipe_P2_equal:seed2:h300000,pipe_P2_equal,2,300000,2,60,70000,56.009382073,4104.100000,1.140028,2.280056,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:pipe_P2_equal:seed2:h300000,pipe_P2_equal,2,300000,2,55,,,,,,no,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:pipe_P2_equal:seed2:h300000,pipe_P2_equal,2,300000,2,50,,,,,,no,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:pipe_P2_equal:seed3:h300000,pipe_P2_equal,3,300000,2,100,15000,90.441107250,880.000000,0.244444,0.488889,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:pipe_P2_equal:seed3:h300000,pipe_P2_equal,3,300000,2,90,25000,82.567989478,1466.666667,0.407407,0.814815,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:pipe_P2_equal:seed3:h300000,pipe_P2_equal,3,300000,2,80,40000,79.763239934,2346.666667,0.651852,1.303704,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:pipe_P2_equal:seed3:h300000,pipe_P2_equal,3,300000,2,70,50000,65.542428258,2933.333333,0.814815,1.629630,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:pipe_P2_equal:seed3:h300000,pipe_P2_equal,3,300000,2,65,70000,63.681290117,4106.666667,1.140741,2.281481,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:pipe_P2_equal:seed3:h300000,pipe_P2_equal,3,300000,2,60,100000,56.287861088,5866.666667,1.629630,3.259259,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:pipe_P2_equal:seed3:h300000,pipe_P2_equal,3,300000,2,55,280000,53.413821433,16426.666667,4.562963,9.125926,yes,linear_interpolation_from_job_info_successful_attempt_total
